ID,Unit_ID,Spr_ID,Wording,Fulltext
au_pm_el_02_50014.txt,Journ,11801,,
au_pm_el_02_50020.txt,Journ,11801,,
au_pm_el_02_10028.txt,Journ,11803,,
au_pm_el_02_10041.txt,Journ,11803,,
au_pm_el_02_10041.txt,Spr01,11910,OECD,"Im OECD-Wirtschaftsbericht Oesterreich 1999 wurde der damaligen sozialistisch dominierten Bundesregierung der Spiegel fuer ihre jahrzehntelange Politik vorgehalten, indem die OECD in ihrem Bericht folgendes feststellte: "
au_pm_el_02_40043.txt,Journ,11802,,
au_pm_el_02_10001.txt,Journ,11803,,
au_pm_el_02_40048.txt,Journ,11802,,
au_pm_el_02_50004.txt,Journ,11801,,
au_pm_el_02_40035.txt,Journ,11802,,
au_pm_el_02_10005.txt,Journ,11803,,
au_pm_el_02_10003.txt,Journ,11803,,
au_pm_el_02_50035.txt,Journ,11801,,
au_pm_el_02_50016.txt,Journ,11801,,
au_pm_el_02_10017.txt,Journ,11803,,
au_pm_el_02_40046.txt,Journ,11802,,
au_pm_el_02_20002.txt,Journ,11804,,
au_pm_el_02_40051.txt,Journ,11802,,
au_pm_el_02_50027.txt,Journ,11801,,
au_pm_el_02_20003.txt,Journ,11804,,
au_pm_el_02_20010.txt,Journ,11804,,
cd_tw_db_13043_00222.txt,Journ,13043,,
cd_tw_db_13020_00046.txt,Journ,13020,,
cd_tw_db_13043_00279.txt,Journ,13043,,
cd_tw_db_13249_00004.txt,Journ,13249,,
cd_tw_db_13063_00075.txt,Journ,13063,,
cd_tw_db_13020_00196.txt,Journ,13020,,
cd_tw_db_13020_00178.txt,Journ,13020,,
cd_tw_db_13063_00094.txt,Journ,13063,,
cd_tw_db_13020_00111.txt,Journ,13020,,
cd_tw_db_13249_00067.txt,Journ,13249,,
cd_tw_db_13020_00131.txt,Journ,13020,,
cd_tw_db_13043_00326.txt,Journ,13043,,
cd_tw_db_13020_00124.txt,Journ,13020,,
cd_tw_db_13020_00039.txt,Journ,13020,,
cd_tw_db_13043_00321.txt,Journ,13043,,
cd_tw_db_13249_00096.txt,Journ,13249,,
cd_tw_db_13020_00082.txt,Journ,13020,,
cd_tw_db_13020_00062.txt,Journ,13020,,
cd_tw_db_13020_00165.txt,Journ,13020,,
cd_tw_db_13020_00140.txt,Journ,13020,,
cd_tw_db_13249_00094.txt,Journ,13249,,
cd_tw_db_13063_00054.txt,Journ,13063,,
cd_tw_db_13020_00100.txt,Journ,13020,,
cd_tw_db_13310_00023.txt,Journ,13310,,
cd_tw_db_13020_00135.txt,Journ,13020,,
cd_tw_db_13063_00052.txt,Journ,13063,,
cd_tw_db_13020_00030.txt,Journ,13020,,
cd_tw_db_13020_00021.txt,Journ,13020,,
cd_tw_db_13020_00108.txt,Journ,13020,,
cd_pm_el_11_40003.txt,Journ,13805,,
cd_pm_el_11_70002.txt,Journ,13808,,
cd_pm_el_11_70005.txt,Journ,13808,,
cd_pm_el_11_80009.txt,Journ,13816,,
au_pr_el_13_050199.txt,Journ,11014,,
au_pr_el_13_050142.txt,Journ,11803,,
au_pr_el_13_010218.txt,Journ,11801,,
au_pr_el_13_020002.txt,Journ,11802,,
au_pr_el_13_020002.txt,Spr01,11703,Konrad Steindl,"Wirtschaftsausschusses, Konrad Steindl, zum heute von der "
au_pr_el_13_111094.txt,Journ,11811,,
au_pr_el_13_111094.txt,Spr01,11711,"Jessi Lintl, / Landesparteiobfrau Team Stronach Wien","Kopfkissen oder ihm ist es schlichtweg egal"", so Jessi Lintl, / Landesparteiobfrau Team Stronach Wien. Waehrend 2012 Arbeitsplaetze in"
au_pr_el_13_050170.txt,Journ,11803,,
au_pr_el_13_050170.txt,Spr01,11014,Generalsekretaer NAbg. Herbert Kickl,"Generalsekretaer NAbg. Herbert Kickl die Meldung, wonach ""...die"
au_pr_el_13_060088.txt,Journ,11806,,
au_pr_el_13_060088.txt,Spr01,11054,BZOe-Buendnissprecher Abg. Mag. Rainer Widmann,"Das BZOe hat schon 2011 im oesterreichischen Parlament Antraege gegen die EU-rechtswidrigen Atomausbauplaene in Temelin und auch Mochovce eingebracht. Dass nun der Oberste Gerichtshof der Slowakei den Ausbau des AKW Mochovce gestoppt hat, ist sehr erfreulich, stellte heute BZOe-Buendnissprecher Abg. Mag. Rainer Widmann fest. ""Es ist aber bedauerlich, dass die oesterreichische Regierung in den letzten zwei Jahren kein Vertragsverletzungsverfahren gegen das UVP-Verfahren eingeleitet hat"", so Widmann weiter.<ORD:65440>"
au_pr_el_13_100015.txt,Journ,11810,,
au_pr_el_13_100015.txt,Spr01,11012,NEOS Spitzenkandidatin und LIF Vorsitzende Angelika Mlinar,NEOS Spitzenkandidatin und LIF Vorsitzende Angelika Mlinar kann das
au_pr_el_13_111033.txt,Journ,11811,,
au_pr_el_13_111033.txt,Spr01,11711,Team Stronach Bildungssprecher Stefan / Markowitz,"die Probleme liegen"", erklaerte Team Stronach Bildungssprecher Stefan / Markowitz in seinem Debattenbeitrag. Er verlangte von allen Parteien:"
au_pr_el_13_010389.txt,Journ,11801,,
au_pr_el_13_010389.txt,Spr01,11905,"Peter Traschkowitsch, Bundes- und Wiener Landesvorsitzender der / Sozialdemokratischen Lesben, Schwulen, Bisexuellen, Transgender und / Intersexuellen Organisation","Peter Traschkowitsch, Bundes- und Wiener Landesvorsitzender der / Sozialdemokratischen Lesben, Schwulen, Bisexuellen, Transgender und / Intersexuellen Organisation, am Mittwoch gegenueber dem"
